Date,Open,High,Low,Close,Volume,Adj Close
2016-05-26,132.35,133.45,132.10,133.00,301400,133.00
2016-05-25,131.10,132.35,129.65,132.15,586900,132.15
2016-05-24,126.60,130.75,126.05,129.95,498000,129.95
2016-05-23,127.90,129.20,126.55,127.50,321100,127.50
2016-05-20,127.50,128.40,127.05,127.60,288400,127.60
2016-05-19,127.40,127.65,125.50,126.65,271400,126.65
2016-05-18,126.00,128.00,125.50,127.85,359200,127.85
2016-05-17,127.05,128.90,125.50,126.55,456300,126.55
2016-05-16,126.65,126.65,126.65,126.65,000,126.65
2016-05-13,124.20,127.30,123.55,126.65,492500,126.65
2016-05-12,126.05,127.30,124.65,125.45,483300,125.45
2016-05-11,128.25,128.75,126.25,126.50,464900,126.50
2016-05-10,127.15,127.90,126.05,127.75,427000,127.75
2016-05-09,127.20,128.15,126.00,126.60,394300,126.60
2016-05-06,125.30,126.90,124.10,126.30,501100,126.30
2016-05-05,126.35,127.05,125.40,126.35,301800,126.35
2016-05-04,127.00,127.95,125.85,126.25,503800,126.25
2016-05-03,133.45,133.45,129.65,130.70,664900,127.25
2016-05-02,134.00,134.85,132.85,133.40,342900,129.879
2016-04-29,136.00,136.00,131.70,133.40,934700,129.879
2016-04-28,130.45,132.00,128.50,132.00,443700,128.516
2016-04-27,130.95,131.75,130.20,131.75,383700,128.272
2016-04-26,132.75,133.30,129.40,130.55,637200,127.104
2016-04-25,136.45,136.50,132.65,133.00,524400,129.489
2016-04-22,136.25,136.55,135.15,135.60,357700,132.021
2016-04-21,136.40,136.90,135.05,136.45,385900,132.848
2016-04-20,135.25,136.55,134.55,136.35,335500,132.751
2016-04-19,132.55,135.75,132.15,135.40,643000,131.826
2016-04-18,129.80,131.90,129.40,131.70,372000,128.224
2016-04-15,131.15,131.40,129.95,131.15,409200,127.688
2016-04-14,130.00,131.75,129.40,131.25,468500,127.785
2016-04-13,126.25,129.85,125.70,129.85,573400,126.422
2016-04-12,124.15,125.10,123.00,124.40,240400,121.116
2016-04-11,121.55,124.15,120.60,123.50,413500,120.24
2016-04-08,120.70,122.60,120.65,121.45,433300,118.244
2016-04-07,122.10,122.60,120.00,120.45,352100,117.271
2016-04-06,122.35,122.65,120.20,121.75,489400,118.536
2016-04-05,122.80,123.30,122.00,122.30,570400,119.072
2016-04-04,125.95,126.40,124.60,125.00,346300,121.70
